2.994960869565217385e-02 5.153889999999999860e-01
3.023215217391304194e-02 5.281050000000000466e-01
3.051469565217391350e-02 5.469600000000000017e-01
3.079723913043478159e-02 5.784110000000000085e-01
3.107978260869565315e-02 6.219710000000000516e-01
3.136232608695652124e-02 6.792489999999999917e-01
3.164486956521739280e-02 7.566089999999999760e-01
3.192741304347825743e-02 8.429649999999999643e-01
3.220995652173912899e-02 9.135499999999999732e-01
3.249250000000000055e-02 9.679060000000000441e-01
3.277504347826086517e-02 9.941849999999999854e-01
3.305758695652173673e-02 1.000000000000000000e+00
3.334013043478260829e-02 9.750109999999999610e-01
3.362267391304347292e-02 9.315339999999999732e-01
3.390521739130434448e-02 8.774290000000000145e-01
3.418776086956521604e-02 7.959479999999999889e-01
3.447030434782608760e-02 6.871720000000000050e-01
3.475284782608695222e-02 6.008029999999999760e-01
3.503539130434782378e-02 5.078470000000000484e-01
3.531793478260869534e-02 4.364850000000000119e-01
3.560047826086955997e-02 3.568500000000000005e-01
3.588302173913043153e-02 2.823129999999999806e-01
3.616556521739130309e-02 2.252000000000000113e-01
3.644810869565217465e-02 1.806450000000000000e-01
3.673065217391303927e-02 1.409350000000000047e-01
3.701319565217391083e-02 1.044609999999999983e-01
3.729573913043478239e-02 8.217249999999999555e-02
3.757828260869564702e-02 6.849379999999999358e-02
3.786082608695651858e-02 5.728769999999999696e-02
3.814336956521739014e-02 4.694480000000000181e-02
3.842591304347825476e-02 3.974250000000000005e-02
3.870845652173912632e-02 3.540689999999999810e-02
3.899099999999999788e-02 3.844849999999999657e-02
3.927354347826086250e-02 4.374560000000000254e-02
3.955608695652173407e-02 4.104590000000000322e-02
3.983863043478260563e-02 2.076079999999999939e-02
4.012117391304347719e-02 3.211690000000000118e-03
4.040371739130434181e-02 0.000000000000000000e+00
